iter	Passed	Remaining
833	12401	2468
834	12418	2454
835	12434	2439
836	12451	2424
837	12470	2410
838	12488	2396
839	12506	2382
840	12524	2367
841	12543	2353
842	12561	2339
843	12584	2325
844	12603	2311
845	12624	2297
846	12640	2283
847	12654	2268
848	12669	2253
849	12685	2238
850	12699	2223
851	12715	2208
852	12730	2193
853	12744	2178
854	12758	2163
855	12772	2148
856	12785	2133
857	12798	2118
858	12817	2103
859	12831	2088
860	12847	2074
861	12863	2059
862	12879	2044
863	12899	2030
864	12922	2016
865	12935	2001
866	12948	1986
867	12961	1971
868	12975	1956
869	12989	1940
870	13003	1925
871	13017	1910
872	13031	1895
873	13043	1880
874	13057	1865
875	13070	1850
876	13083	1834
877	13096	1819
878	13110	1804
879	13124	1789
880	13136	1774
881	13150	1759
882	13163	1744
883	13177	1729
884	13191	1714
885	13204	1698
886	13218	1683
887	13231	1668
888	13244	1653
889	13259	1638
890	13272	1623
891	13285	1608
892	13299	1593
893	13313	1578
894	13326	1563
895	13338	1548
896	13351	1533
897	13365	1518
898	13379	1503
899	13392	1488
900	13408	1473
901	13421	1458
902	13434	1443
903	13447	1428
904	13461	1413
905	13474	1397
906	13487	1382
907	13500	1367
908	13516	1353
909	13531	1338
910	13546	1323
911	13560	1308
912	13574	1293
913	13588	1278
914	13601	1263
915	13614	1248
916	13627	1233
917	13639	1218
918	13653	1203
919	13667	1188
920	13681	1173
921	13694	1158
922	13709	1143
923	13722	1128
924	13735	1113
925	13748	1098
926	13761	1083
927	13776	1068
928	13790	1053
929	13804	1039
930	13826	1024
931	13839	1009
932	13853	994
933	13867	979
934	13880	964
935	13893	949
936	13906	935
937	13920	920
938	13932	905
939	13946	890
940	13960	875
941	13973	860
942	13986	845
943	13999	830
944	14012	815
945	14025	800
946	14039	785
947	14053	770
948	14067	755
949	14080	741
950	14093	726
951	14107	711
952	14122	696
953	14135	681
954	14148	666
955	14162	651
956	14175	636
957	14189	622
958	14202	607
959	14216	592
960	14229	577
961	14243	562
962	14256	547
963	14269	532
964	14282	518
965	14296	503
966	14308	488
967	14324	473
968	14338	458
969	14350	443
970	14364	429
971	14377	414
972	14390	399
973	14403	384
974	14416	369
975	14430	354
976	14444	340
977	14457	325
978	14470	310
979	14484	295
980	14497	280
981	14511	265
982	14523	251
983	14536	236
984	14550	221
985	14562	206
986	14577	192
987	14591	177
988	14605	162
989	14619	147
990	14632	132
991	14645	118
992	14659	103
993	14672	88
994	14686	73
995	14701	59
996	14715	44
997	14727	29
998	14741	14
999	14753	0
